owner,repo,full_name,stargazers_count,subscribers_count,open_issues_count,forks_count,fork,html_url_repo,watchers_count,commit_id,commit_message,badge
gadenbuie,gentle-ggplot2,gadenbuie/gentle-ggplot2,80,4,0,18,FALSE,https://github.com/gadenbuie/gentle-ggplot2,80,NA,NA,NA
gadenbuie,getcitations,gadenbuie/getcitations,14,2,0,4,FALSE,https://github.com/gadenbuie/getcitations,14,NA,NA,NA
gadenbuie,ggpomological,gadenbuie/ggpomological,321,10,11,21,FALSE,https://github.com/gadenbuie/ggpomological,321,NA,NA,NA
gadenbuie,ggweekly,gadenbuie/ggweekly,101,4,0,10,FALSE,https://github.com/gadenbuie/ggweekly,101,NA,NA,NA
gadenbuie,grkgdown,gadenbuie/grkgdown,0,2,0,0,FALSE,https://github.com/gadenbuie/grkgdown,0,NA,NA,NA
gadenbuie,grkstyle,gadenbuie/grkstyle,79,3,3,12,FALSE,https://github.com/gadenbuie/grkstyle,79,2dac4d789cf6db339deaf53e6d20f9262ed3fbb9,getOptions --> getOption (#9),[![](https://github.com/gadenbuie/grkstyle/workflows/R-CMD-check/badge.svg)](https://github.com/gadenbuie/grkstyle/actions/runs/2800870453)
gadenbuie,intro-to-git-for-scientists,gadenbuie/intro-to-git-for-scientists,11,2,0,2,FALSE,https://github.com/gadenbuie/intro-to-git-for-scientists,11,NA,NA,NA
gadenbuie,isg-2018,gadenbuie/isg-2018,0,2,0,0,FALSE,https://github.com/gadenbuie/isg-2018,0,NA,NA,NA
gadenbuie,iyo-apero-awesome,gadenbuie/iyo-apero-awesome,0,2,0,0,FALSE,https://github.com/gadenbuie/iyo-apero-awesome,0,NA,NA,NA
gadenbuie,js4shiny,gadenbuie/js4shiny,50,5,2,2,FALSE,https://github.com/gadenbuie/js4shiny,NA,e7d2e9b55032452f532c8dc9ad069edd16b811ed,Match pkgdown docs to my site styles (#21),[![](https://github.com/gadenbuie/js4shiny/workflows/tic/badge.svg)](https://github.com/gadenbuie/js4shiny/actions/runs/3217042415)
gadenbuie,js4shiny-drumkit,gadenbuie/js4shiny-drumkit,8,2,0,1,FALSE,https://github.com/gadenbuie/js4shiny-drumkit,8,NA,NA,NA
gadenbuie,js4shiny-frappeCharts,gadenbuie/js4shiny-frappeCharts,10,2,1,3,FALSE,https://github.com/gadenbuie/js4shiny-frappeCharts,10,NA,NA,NA
gadenbuie,js4shiny-workshop-webpage,gadenbuie/js4shiny-workshop-webpage,3,2,0,5,FALSE,https://github.com/gadenbuie/js4shiny-workshop-webpage,3,NA,NA,NA
gadenbuie,lorem,gadenbuie/lorem,20,2,3,2,FALSE,https://github.com/gadenbuie/lorem,20,NA,NA,NA
gadenbuie,mctestanalysis,gadenbuie/mctestanalysis,6,4,9,2,FALSE,https://github.com/gadenbuie/mctestanalysis,6,NA,NA,NA
gadenbuie,metathis,gadenbuie/metathis,61,2,5,3,FALSE,https://github.com/gadenbuie/metathis,NA,ec21f8da7e45268d0b8dbec11aadadbd0686df09,docs: Redocument with roxygen2 7.2.1,[![](https://github.com/gadenbuie/metathis/workflows/R-CMD-check/badge.svg)](https://github.com/gadenbuie/metathis/actions/runs/3217054108) [![](https://github.com/gadenbuie/metathis/workflows/pkgdown/badge.svg)](https://github.com/gadenbuie/metathis/actions/runs/2841200648)
gadenbuie,ms-render-ui-delay,gadenbuie/ms-render-ui-delay,1,2,0,0,FALSE,https://github.com/gadenbuie/ms-render-ui-delay,1,NA,NA,NA
gadenbuie,msglooker,gadenbuie/msglooker,3,2,1,0,FALSE,https://github.com/gadenbuie/msglooker,3,NA,NA,NA
gadenbuie,mueller-report,gadenbuie/mueller-report,47,5,0,26,FALSE,https://github.com/gadenbuie/mueller-report,47,NA,NA,NA
gadenbuie,nonlinear-opt-notes,gadenbuie/nonlinear-opt-notes,2,3,0,3,FALSE,https://github.com/gadenbuie/nonlinear-opt-notes,2,NA,NA,NA
